[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
8.21988344e-001, -2.36268356e+002
8.40274334e-001, -2.37473404e+002
8.58371437e-001, -2.38544586e+002
8.76277983e-001, -2.39480789e+002
8.93995166e-001, -2.40251617e+002
9.11524951e-001, -2.40720993e+002
9.28869247e-001, -2.41578583e+002
9.46029902e-001, -2.42520233e+002
9.63008881e-001, -2.43372665e+002
9.79808033e-001, -2.44121033e+002
9.96429145e-001, -2.44799133e+002
1.01287413e+000, -2.45484970e+002
1.02914476e+000, -2.46166901e+002
1.04524291e+000, -2.46839294e+002
1.06117022e+000, -2.47470566e+002
1.07692862e+000, -2.48082336e+002
1.09252000e+000, -2.48710159e+002
1.10798585e+000, -2.49233551e+002
1.12335443e+000, -2.49882935e+002
1.13862944e+000, -2.50267166e+002
1.15381122e+000, -2.50517120e+002
1.16889954e+000, -2.50644394e+002
1.18387806e+000, -2.50738922e+002
1.19869483e+000, -2.50878571e+002
1.21318221e+000, -2.50826233e+002
1.22745705e+000, -2.50694382e+002
1.24157631e+000, -2.50441650e+002
1.25547111e+000, -2.50031387e+002
1.26913309e+000, -2.49561050e+002
1.28256118e+000, -2.49132126e+002
1.29575229e+000, -2.48548889e+002
1.30870128e+000, -2.47881271e+002
1.32141232e+000, -2.47067581e+002
1.33389759e+000, -2.45885361e+002
1.34616053e+000, -2.44477127e+002
1.35820472e+000, -2.43079681e+002
1.37004018e+000, -2.41611038e+002
1.38167179e+000, -2.39758026e+002
1.39310503e+000, -2.37745239e+002
1.40455019e+000, -2.35479706e+002
1.41618013e+000, -2.32777847e+002
1.42813683e+000, -2.29971741e+002
1.44047713e+000, -2.26688644e+002
1.45321274e+000, -2.22893158e+002
1.46635735e+000, -2.19226044e+002
1.47991669e+000, -2.15068939e+002
1.49385118e+000, -2.10141708e+002
1.50835705e+000, -2.05252991e+002
1.52358472e+000, -2.00028702e+002
1.53947389e+000, -1.94357407e+002
1.55604160e+000, -1.88549606e+002
1.57331181e+000, -1.82724609e+002
1.59104371e+000, -1.76486740e+002
1.60944533e+000, -1.69859711e+002
1.62916470e+000, -1.62560196e+002
1.65013528e+000, -1.54810410e+002
1.67214310e+000, -1.46511459e+002
1.69520736e+000, -1.37817383e+002
1.71951592e+000, -1.28471939e+002
1.74511468e+000, -1.18648026e+002
1.77212656e+000, -1.08143631e+002
1.80086744e+000, -9.68364487e+001
1.83172047e+000, -8.45951385e+001
1.86526370e+000, -7.12821732e+001
1.90101707e+000, -5.69893303e+001
1.93626976e+000, -4.24411964e+001
1.97025466e+000, -2.78945026e+001
2.00261974e+000, -1.38263054e+001
2.03338528e+000, -3.87139916e-001
2.06262493e+000, 1.23940086e+001
2.09038591e+000, 2.42745190e+001
2.11678076e+000, 3.52520027e+001
2.14220881e+000, 4.56666412e+001
2.16652298e+000, 5.54675598e+001
2.18985033e+000, 6.50051727e+001
2.21226811e+000, 7.46081848e+001
2.23382211e+000, 8.42673874e+001
2.25348830e+000, 9.36519852e+001
2.27190375e+000, 1.02997726e+002
2.28946424e+000, 1.12076569e+002
2.30621004e+000, 1.20530869e+002
2.32218122e+000, 1.28143051e+002
2.33744121e+000, 1.35002533e+002
2.35118032e+000, 1.40881973e+002
2.36307049e+000, 1.45606323e+002
2.37482572e+000, 1.49807541e+002
2.38726664e+000, 1.53644791e+002
2.40173149e+000, 1.57480011e+002
2.41701674e+000, 1.61259003e+002
2.43251824e+000, 1.65153183e+002
2.44807839e+000, 1.69249573e+002
2.46354795e+000, 1.73653183e+002
2.47790051e+000, 1.78669052e+002
2.49074602e+000, 1.84295349e+002
2.50222993e+000, 1.90532074e+002
2.51336694e+000, 1.97580933e+002
2.52452302e+000, 2.06352890e+002
2.53631401e+000, 2.17605377e+002
2.54860878e+000, 2.30512924e+002
2.56100583e+000, 2.43224518e+002
2.57280493e+000, 2.53794281e+002
2.58380938e+000, 2.61961151e+002
2.59467936e+000, 2.68215485e+002
2.60550427e+000, 2.72599182e+002
2.61629915e+000, 2.75117065e+002
2.62709379e+000, 2.75892334e+002
2.63789129e+000, 2.75680847e+002
2.64868617e+000, 2.73471863e+002
2.65947270e+000, 2.69481842e+002
2.67027545e+000, 2.63948975e+002
2.68110728e+000, 2.57378937e+002
2.69193292e+000, 2.50168869e+002
2.70273542e+000, 2.42671265e+002
2.71351361e+000, 2.35022736e+002
2.72426748e+000, 2.27309601e+002
2.73502755e+000, 2.19258881e+002
2.74578977e+000, 2.11056793e+002
2.75649452e+000, 2.02660706e+002
2.76716185e+000, 1.93905899e+002
2.77784300e+000, 1.85311142e+002
2.78853607e+000, 1.75826416e+002
2.79915380e+000, 1.94175201e+002
2.78892589e+000, 1.50649399e+002
2.77821612e+000, 1.40639420e+002
2.76746011e+000, 1.35311432e+002
2.75669456e+000, 1.30366272e+002
2.74581718e+000, 1.26759010e+002
2.73474908e+000, 1.23709595e+002
2.72337794e+000, 1.21011101e+002
2.71167278e+000, 1.18665535e+002
2.69990015e+000, 1.16622673e+002
2.68807793e+000, 1.14731041e+002
2.67618251e+000, 1.12886383e+002
2.66470575e+000, 1.10821503e+002
2.65387893e+000, 1.08220360e+002
2.64317131e+000, 1.05046791e+002
2.63246894e+000, 1.01153275e+002
2.62172532e+000, 9.66961136e+001
2.61089063e+000, 9.13843384e+001
2.59999561e+000, 8.49418030e+001
2.58907461e+000, 7.75300217e+001
2.57816505e+000, 6.94894791e+001
2.56713510e+000, 6.04325829e+001
2.55577683e+000, 5.04901352e+001
2.54266286e+000, 3.86704254e+001
2.52747416e+000, 2.53635445e+001
2.51220775e+000, 1.29816818e+001
2.49669933e+000, 1.83171535e+000
2.47919369e+000, -8.49801064e+000
2.45686603e+000, -1.99566345e+001
2.43074989e+000, -3.26668663e+001
2.40308237e+000, -4.60203819e+001
2.37550282e+000, -6.02907867e+001
2.34908652e+000, -7.48009186e+001
2.32080197e+000, -9.02465210e+001
2.28914261e+000, -1.08250671e+002
2.25444126e+000, -1.27455658e+002
2.22005439e+000, -1.45792282e+002
2.18887186e+000, -1.61723541e+002
2.15914941e+000, -1.76444824e+002
2.12962675e+000, -1.91133728e+002
2.10053372e+000, -2.05700699e+002
2.07244897e+000, -2.19806061e+002
2.04591370e+000, -2.32960587e+002
2.02108431e+000, -2.45125076e+002
1.99760652e+000, -2.56548370e+002
1.97521448e+000, -2.67367157e+002
1.95357656e+000, -2.77966125e+002
1.93400753e+000, -2.87635864e+002
1.91510987e+000, -2.96436218e+002
1.89668000e+000, -3.04961609e+002
1.87858915e+000, -3.13104614e+002
1.86083484e+000, -3.21055603e+002
1.84345305e+000, -3.28842499e+002
1.82655966e+000, -3.36342010e+002
1.80985272e+000, -3.43727966e+002
1.79346704e+000, -3.51002472e+002
1.77744436e+000, -3.58065979e+002
1.76176035e+000, -3.64957642e+002
1.74641299e+000, -3.71669922e+002
1.73138177e+000, -3.78198364e+002
1.71663415e+000, -3.84505524e+002
1.70215213e+000, -3.90622925e+002
1.68792760e+000, -3.96656830e+002
1.67393064e+000, -4.02740204e+002
1.66015661e+000, -4.08521606e+002
1.64661193e+000, -4.13760010e+002
1.63328159e+000, -4.19120483e+002
1.62017918e+000, -4.24319580e+002
1.60731351e+000, -4.29395020e+002
1.59464645e+000, -4.34340912e+002
1.58214784e+000, -4.39038727e+002
1.56986189e+000, -4.43736938e+002
1.55769455e+000, -4.48501709e+002
1.54563320e+000, -4.53092743e+002
1.53373456e+000, -4.57601379e+002
1.52200902e+000, -4.61919800e+002
1.51046169e+000, -4.66018463e+002
1.49909687e+000, -4.70255890e+002
1.48791611e+000, -4.74204529e+002
1.47690558e+000, -4.77914398e+002
1.46603894e+000, -4.81398071e+002
1.45522118e+000, -4.84802277e+002
1.44444191e+000, -4.88128662e+002
1.43369424e+000, -4.91151917e+002
1.42296731e+000, -4.93983551e+002
1.41224313e+000, -4.96640167e+002
1.40150464e+000, -4.98866302e+002
1.39073849e+000, -5.00617218e+002
1.37995267e+000, -5.02389984e+002
1.36915243e+000, -5.03880676e+002
1.35833883e+000, -5.04926422e+002
1.34751320e+000, -5.05914856e+002
1.33667672e+000, -5.07117004e+002
1.32583046e+000, -5.07775360e+002
1.31497550e+000, -5.08392120e+002
1.30411243e+000, -5.08594025e+002
1.29324186e+000, -5.08814636e+002
1.28236389e+000, -5.09170502e+002
1.27147889e+000, -5.09120911e+002
1.26058686e+000, -5.08934784e+002
1.24968839e+000, -5.08728790e+002
1.23878574e+000, -5.08525482e+002
1.22788036e+000, -5.08344208e+002
1.21697283e+000, -5.07977783e+002
1.20605731e+000, -5.07447723e+002
1.19509304e+000, -5.06942932e+002
1.18407273e+000, -5.06430145e+002
1.17299438e+000, -5.05824921e+002
1.16185701e+000, -5.05190826e+002
1.15065980e+000, -5.04303040e+002
1.13939917e+000, -5.03354340e+002
1.12807178e+000, -5.02209686e+002
1.11667299e+000, -5.01100861e+002
1.10520065e+000, -5.00066193e+002
1.09365284e+000, -4.98858795e+002
1.08202910e+000, -4.97627289e+002
1.07032967e+000, -4.96439545e+002
1.05854762e+000, -4.95183533e+002
1.04667628e+000, -4.93846771e+002
1.03471327e+000, -4.92320465e+002
1.02266896e+000, -4.91122009e+002
1.01058483e+000, -4.89660034e+002
9.98527169e-001, -4.88188110e+002
9.86559629e-001, -4.86531433e+002
9.74645138e-001, -4.84932129e+002
9.62758422e-001, -4.83539856e+002
9.50858653e-001, -4.82003387e+002
9.38926756e-001, -4.80481903e+002
9.26948190e-001, -4.78854492e+002
9.14972425e-001, -4.77273285e+002
9.03023064e-001, -4.75633179e+002
8.91113043e-001, -4.73999939e+002
8.79241109e-001, -4.72317932e+002
8.67402911e-001, -4.70578796e+002
8.55586767e-001, -4.69209747e+002
8.43792081e-001, -4.67451660e+002
8.32027435e-001, -4.65568054e+002
8.20298254e-001, -4.63895142e+002
8.08608294e-001, -4.62151276e+002
7.96973526e-001, -4.60132599e+002
7.85406768e-001, -4.58168274e+002
7.73915827e-001, -4.56733917e+002
7.62508273e-001, -4.54940857e+002
7.51191139e-001, -4.52860321e+002
7.39973724e-001, -4.50808533e+002
7.28865743e-001, -4.48939362e+002
7.17822671e-001, -4.46779572e+002
7.06812680e-001, -4.44857513e+002
6.95839643e-001, -4.42691376e+002
6.84903622e-001, -4.40472931e+002
6.73980832e-001, -4.38334106e+002
6.63066387e-001, -4.36168793e+002
6.52168095e-001, -4.33898254e+002
6.41286552e-001, -4.31771667e+002
6.30421519e-001, -4.29849945e+002
6.19583368e-001, -4.27887726e+002
6.08795583e-001, -4.25182800e+002
5.98035336e-001, -4.22725952e+002
5.87279081e-001, -4.20108398e+002
5.76491177e-001, -4.17603668e+002
5.65659225e-001, -4.15360474e+002
5.54803252e-001, -4.12996124e+002
5.43944538e-001, -4.10212341e+002
5.33104897e-001, -4.07855072e+002
5.22307277e-001, -4.05978119e+002
5.11574745e-001, -4.03550629e+002
5.00930667e-001, -4.00796326e+002
4.90354061e-001, -3.97912903e+002
4.79766190e-001, -3.94950134e+002
4.69180793e-001, -3.91989960e+002
4.58604723e-001, -3.89097687e+002
4.48027521e-001, -3.86479736e+002
4.37445432e-001, -3.83720123e+002
4.26854432e-001, -3.80093445e+002
4.16256696e-001, -3.75837830e+002
4.05657917e-001, -3.71983459e+002
3.94998401e-001, -3.68165741e+002
3.84271413e-001, -3.64217926e+002
3.73514891e-001, -3.60196320e+002
3.62768888e-001, -3.55837524e+002
3.52074653e-001, -3.51233032e+002
3.41473788e-001, -3.46579437e+002
3.30938309e-001, -3.41673920e+002
3.20313483e-001, -3.36389709e+002
3.09630454e-001, -3.30767212e+002
2.98939139e-001, -3.24837738e+002
2.88292587e-001, -3.18580780e+002
2.77701020e-001, -3.12085815e+002
2.67141402e-001, -3.05419525e+002
2.56560057e-001, -2.98534851e+002
2.45907083e-001, -2.91409119e+002
2.35246420e-001, -2.83919128e+002
2.24648148e-001, -2.75467316e+002
2.14170620e-001, -2.67815704e+002
2.03656673e-001, -2.59879578e+002
1.93089753e-001, -2.52022797e+002
1.82545021e-001, -2.43718353e+002
1.72061682e-001, -2.34623581e+002
1.61656469e-001, -2.24371384e+002
1.51157662e-001, -2.12494873e+002
1.40612915e-001, -1.98754425e+002
1.30118519e-001, -1.83029327e+002
1.19763657e-001, -1.65427811e+002
1.09354369e-001, -1.46207443e+002
9.89228636e-002, -1.24288414e+002
8.85807946e-002, -1.00487747e+002
7.83189088e-002, -8.02345657e+001
6.79710209e-002, -6.84828262e+001
5.76768257e-002, -5.98001633e+001
4.75861616e-002, -4.76298904e+001
3.75406444e-002, -4.61021652e+001
2.77356952e-002, -3.88904152e+001
1.83149111e-002, 1.71403564e+002
9.70855821e-003, 6.51877380e+002
2.90239113e-003, 1.27005750e+003
-6.33319994e-011, 1.46263354e+003
3.47039383e-003, 9.29224487e+002
1.12929037e-002, 1.24321976e+002
2.06081793e-002, -3.59145569e+002
3.06605436e-002, -3.90140564e+002
4.10209559e-002, -2.90215363e+002
5.14220223e-002, -2.44301819e+002
6.19417541e-002, -2.15114502e+002
7.25284740e-002, -1.87019592e+002
8.31626430e-002, -1.66370712e+002
9.37831700e-002, -1.62513916e+002
1.04330234e-001, -1.64254608e+002
1.14890166e-001, -1.70040619e+002
1.25565484e-001, -1.74846252e+002
1.36300236e-001, -1.78396973e+002
1.47044212e-001, -1.80960999e+002
1.57750830e-001, -1.82912857e+002
1.68380857e-001, -1.84415817e+002
1.78998768e-001, -1.84952850e+002
1.89637482e-001, -1.85327667e+002
2.00345472e-001, -1.85662537e+002
2.11120456e-001, -1.86094513e+002
2.21930727e-001, -1.87123245e+002
2.32750162e-001, -1.88738998e+002
2.43555307e-001, -1.90732697e+002
2.54323065e-001, -1.92882813e+002
2.65031427e-001, -1.95069977e+002
2.75771201e-001, -1.97258789e+002
2.86608338e-001, -1.99347015e+002
2.97520041e-001, -2.01132507e+002
3.08483839e-001, -2.02109207e+002
3.19477797e-001, -2.02942932e+002
3.30482483e-001, -2.03809402e+002
3.41504484e-001, -2.04481583e+002
3.52572501e-001, -2.05076218e+002
3.63906741e-001, -2.05811829e+002
3.75535369e-001, -2.06744888e+002
3.87477100e-001, -2.07830872e+002
3.99738312e-001, -2.09091064e+002
4.12325621e-001, -2.10094177e+002
4.25266057e-001, -2.11250153e+002
4.38498795e-001, -2.12236343e+002
4.51894552e-001, -2.12793686e+002
4.65452194e-001, -2.13519318e+002
4.79172945e-001, -2.14514999e+002
4.93058056e-001, -2.15587753e+002
5.07130742e-001, -2.16762924e+002
5.21353722e-001, -2.18100189e+002
5.35706460e-001, -2.19455460e+002
5.50456583e-001, -2.20820892e+002
5.65549135e-001, -2.22085785e+002
5.80913007e-001, -2.23033691e+002
5.96523821e-001, -2.23679977e+002
6.12367332e-001, -2.24298035e+002
6.28478408e-001, -2.25241562e+002
6.44871473e-001, -2.26066345e+002
6.61514223e-001, -2.26710556e+002
6.78354740e-001, -2.27485550e+002
6.95427001e-001, -2.28444107e+002
7.12762237e-001, -2.29474976e+002
7.30371356e-001, -2.30529755e+002
7.48258770e-001, -2.31633041e+002
7.66428709e-001, -2.32749191e+002
7.84885645e-001, -2.33903961e+002
8.03506732e-001, -2.35078110e+002
2.26317067e-002, -4.29616333e+002
undef, undef
3.28303017e-002, -3.94566071e+002
4.33164313e-002, -2.75731567e+002
5.38884774e-002, -2.29198212e+002
6.45515397e-002, -2.06064453e+002
7.52288848e-002, -1.80898178e+002
8.59169513e-002, -1.65291306e+002
9.65554565e-002, -1.62775421e+002
1.07100479e-001, -1.66630997e+002
1.17720477e-001, -1.72005737e+002
1.28457680e-001, -1.76294434e+002
1.39257953e-001, -1.79551239e+002
1.50073797e-001, -1.82283295e+002
1.60894051e-001, -1.83800217e+002
1.71690464e-001, -1.84766205e+002
1.82500675e-001, -1.85842941e+002
1.93316400e-001, -1.86270401e+002
2.04180256e-001, -1.85974716e+002
2.15081140e-001, -1.86236908e+002
2.26018727e-001, -1.87664734e+002
2.36957878e-001, -1.90152603e+002
2.47855559e-001, -1.91749359e+002
2.58685052e-001, -1.93781967e+002
2.69444287e-001, -1.95863007e+002
2.80286878e-001, -1.97280823e+002
2.91224420e-001, -1.98738449e+002
3.02242845e-001, -2.00223770e+002
3.13323945e-001, -2.01666885e+002
3.24453056e-001, -2.03110275e+002
3.35641474e-001, -2.04581299e+002
3.46942633e-001, -2.05767120e+002
3.58442962e-001, -2.06801636e+002
3.70239258e-001, -2.07603516e+002
3.82324755e-001, -2.08070038e+002
3.94692063e-001, -2.08609741e+002
4.07358527e-001, -2.09214828e+002
4.20301467e-001, -2.09961945e+002
4.33492094e-001, -2.10970718e+002
4.46871221e-001, -2.11986038e+002
4.60423261e-001, -2.13194885e+002
4.74141151e-001, -2.14490402e+002
4.87998903e-001, -2.15360565e+002
5.02020240e-001, -2.16334671e+002
5.16219079e-001, -2.17687881e+002
5.30558348e-001, -2.19074646e+002
5.45183301e-001, -2.20071701e+002
5.60165465e-001, -2.21014206e+002
5.75423002e-001, -2.22065552e+002
5.90944111e-001, -2.23034958e+002
6.06722116e-001, -2.23789108e+002
6.22753441e-001, -2.24588196e+002
6.39041662e-001, -2.25549728e+002
6.55598581e-001, -2.26636505e+002
6.72390461e-001, -2.27542313e+002
6.89406633e-001, -2.28482513e+002
7.06649244e-001, -2.29498184e+002
7.24120736e-001, -2.30573868e+002
7.41832435e-001, -2.31570251e+002
7.59818137e-001, -2.32481537e+002
7.78076887e-001, -2.33720337e+002
7.96544075e-001, -2.34806305e+002
8.15108538e-001, -2.35752975e+002
8.33549857e-001, -2.36831680e+002
8.51798594e-001, -2.37938248e+002
8.69856656e-001, -2.38950226e+002
8.87725949e-001, -2.39734421e+002
9.05408323e-001, -2.40502380e+002
9.22905803e-001, -2.41208481e+002
9.40220118e-001, -2.42036621e+002
9.57353234e-001, -2.42912125e+002
9.74307120e-001, -2.43823532e+002
9.91087258e-001, -2.44680328e+002
1.00773036e+000, -2.45367691e+002
1.02426696e+000, -2.46035461e+002
1.04069960e+000, -2.46699036e+002
1.05703068e+000, -2.47451538e+002
1.07326174e+000, -2.48020691e+002
1.08939421e+000, -2.48405182e+002
1.10542381e+000, -2.48888565e+002
1.12132537e+000, -2.49380966e+002
1.13704002e+000, -2.49786575e+002
1.15257549e+000, -2.50198334e+002
1.16792476e+000, -2.50577850e+002
1.18307769e+000, -2.50791504e+002
1.19801712e+000, -2.50873322e+002
1.21265852e+000, -2.50893188e+002
1.22703886e+000, -2.50777481e+002
1.24117875e+000, -2.50569321e+002
1.25504136e+000, -2.50172943e+002
1.26872540e+000, -2.49740158e+002
1.28225052e+000, -2.49246811e+002
1.29555559e+000, -2.48614716e+002
1.30863345e+000, -2.47823700e+002
1.32149041e+000, -2.46808212e+002
1.33414316e+000, -2.45644180e+002
1.34659505e+000, -2.44411530e+002
1.35885012e+000, -2.43042236e+002
1.37091982e+000, -2.41411667e+002
1.38281524e+000, -2.39696045e+002
1.39455605e+000, -2.37614166e+002
1.40634072e+000, -2.35257614e+002
1.41828883e+000, -2.32514694e+002
1.43054843e+000, -2.29321487e+002
1.44315660e+000, -2.25843109e+002
1.45614004e+000, -2.22160431e+002
1.46950722e+000, -2.17867691e+002
1.48325467e+000, -2.13420624e+002
1.49737918e+000, -2.08848969e+002
1.51212287e+000, -2.04234283e+002
1.52755427e+000, -1.99066727e+002
1.54364610e+000, -1.93223846e+002
1.56042433e+000, -1.87405930e+002
1.57790637e+000, -1.81118256e+002
1.59596050e+000, -1.74465164e+002
1.61494792e+000, -1.67687622e+002
1.63497388e+000, -1.60291733e+002
1.65657675e+000, -1.52293579e+002
1.67909217e+000, -1.43919556e+002
1.70277727e+000, -1.34861893e+002
1.72774243e+000, -1.25579468e+002
1.75399399e+000, -1.15498383e+002
1.78169262e+000, -1.04678848e+002
1.81110740e+000, -9.29880142e+001
1.84284317e+000, -7.99865646e+001
1.87736332e+000, -6.60572815e+001
1.91291833e+000, -5.17083626e+001
1.94755077e+000, -3.72990913e+001
1.98068106e+000, -2.31427345e+001
2.01239300e+000, -9.36231518e+000
2.04281735e+000, 3.80447936e+000
2.07202864e+000, 1.62706070e+001
2.10004711e+000, 2.79711456e+001
2.12711668e+000, 3.93841820e+001
2.15340018e+000, 5.01699409e+001
2.17876244e+000, 6.04030876e+001
2.20331049e+000, 7.05751724e+001
2.22662163e+000, 8.08140717e+001
2.24733281e+000, 9.05381317e+001
2.26667809e+000, 1.00282227e+002
2.28517222e+000, 1.09813850e+002
2.30290174e+000, 1.18837502e+002
2.31947398e+000, 1.26982895e+002
2.33502078e+000, 1.34069748e+002
2.34926939e+000, 1.40154205e+002
2.36170554e+000, 1.45024307e+002
2.37379384e+000, 1.49444473e+002
2.38639975e+000, 1.53373596e+002
2.40091944e+000, 1.57314377e+002
2.41629004e+000, 1.61050858e+002
2.43186402e+000, 1.64759384e+002
2.44750905e+000, 1.68779663e+002
2.46311665e+000, 1.73098022e+002
2.47765231e+000, 1.77973541e+002
2.49070573e+000, 1.84005325e+002
2.50241637e+000, 1.90366837e+002
2.51375508e+000, 1.97702042e+002
2.52509451e+000, 2.06716003e+002
2.53703570e+000, 2.18167236e+002
2.54938936e+000, 2.31125443e+002
2.56175566e+000, 2.43650818e+002
2.57349992e+000, 2.54238907e+002
2.58452392e+000, 2.62341187e+002
2.59540486e+000, 2.68388123e+002
2.60622048e+000, 2.72614075e+002
2.61700320e+000, 2.75015717e+002
2.62778592e+000, 2.75690002e+002
2.63857198e+000, 2.75621613e+002
2.64936042e+000, 2.73252136e+002
2.66015124e+000, 2.68974762e+002
2.67097616e+000, 2.63261108e+002
2.68184757e+000, 2.56724457e+002
2.69272304e+000, 2.49533508e+002
2.70359063e+000, 2.41921600e+002
2.71449041e+000, 2.34249939e+002
2.72543740e+000, 2.26105408e+002
2.73647594e+000, 2.17893234e+002
2.74751282e+000, 2.09570999e+002
2.75832272e+000, 2.01312042e+002
2.76901078e+000, 1.93292450e+002
2.77971387e+000, 1.84013580e+002
2.79042625e+000, 1.66632187e+002
2.79915380e+000, 1.88197205e+002
2.78857207e+000, 1.42850784e+002
2.77781320e+000, 1.36851288e+002
2.76699400e+000, 1.33194290e+002
2.75614262e+000, 1.29006180e+002
2.74505615e+000, 1.25708450e+002
2.73364234e+000, 1.22795082e+002
2.72194648e+000, 1.20153030e+002
2.70999789e+000, 1.17776253e+002
2.69801760e+000, 1.15728668e+002
2.68597841e+000, 1.13965927e+002
2.67390776e+000, 1.12316620e+002
2.66245508e+000, 1.10207687e+002
2.65166950e+000, 1.07581657e+002
2.64095783e+000, 1.04281052e+002
2.63025832e+000, 1.00290482e+002
2.61948180e+000, 9.55293808e+001
2.60859132e+000, 8.99570465e+001
2.59760785e+000, 8.35360489e+001
2.58655787e+000, 7.60074005e+001
2.57545924e+000, 6.75468521e+001
2.56407499e+000, 5.77661285e+001
2.55210829e+000, 4.71242676e+001
2.53778195e+000, 3.39881592e+001
2.52224040e+000, 2.11217785e+001
2.50690651e+000, 1.00818672e+001
2.49115634e+000, -4.16960299e-001
2.47231102e+000, -1.21228580e+001
2.44938993e+000, -2.39599819e+001
2.42288780e+000, -3.66445847e+001
2.39547348e+000, -4.99549713e+001
2.36837673e+000, -6.39078636e+001
2.34175348e+000, -7.85173264e+001
2.31260943e+000, -9.49830551e+001
2.27996874e+000, -1.13487206e+002
2.24499846e+000, -1.32718338e+002
2.21114826e+000, -1.50416763e+002
2.18060207e+000, -1.65740005e+002
2.15078473e+000, -1.80503067e+002
2.12132144e+000, -1.95180817e+002
2.09248185e+000, -2.09788284e+002
2.06468511e+000, -2.23433167e+002
2.03863621e+000, -2.36488907e+002
2.01428199e+000, -2.48807022e+002
1.99133730e+000, -2.60015869e+002
1.96929848e+000, -2.70610321e+002
1.94830143e+000, -2.80698151e+002
1.92887044e+000, -2.89848938e+002
1.91010439e+000, -2.98395508e+002
1.89176285e+000, -3.06833282e+002
1.87373865e+000, -3.15248932e+002
1.85603273e+000, -3.23262329e+002
1.83875251e+000, -3.31007446e+002
1.82189965e+000, -3.38515015e+002
1.80523229e+000, -3.45912140e+002
1.78888547e+000, -3.53118805e+002
1.77289975e+000, -3.60076477e+002
1.75727427e+000, -3.66869080e+002
