[Name]
Series 1 at Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
8.21988344e-001, 1.00441803e+002
8.40274334e-001, 9.52819824e+001
8.58371437e-001, 9.03662796e+001
8.76277983e-001, 8.57027740e+001
8.93995166e-001, 8.11295242e+001
9.11524951e-001, 7.70970535e+001
9.28869247e-001, 7.27968826e+001
9.46029902e-001, 6.85396652e+001
9.63008881e-001, 6.44566193e+001
9.79808033e-001, 6.05675621e+001
9.96429145e-001, 5.68152504e+001
1.01287413e+000, 5.31219406e+001
1.02914476e+000, 4.95043488e+001
1.04524291e+000, 4.60221634e+001
1.06117022e+000, 4.26798210e+001
1.07692862e+000, 3.94342690e+001
1.09252000e+000, 3.62814713e+001
1.10798585e+000, 3.32836304e+001
1.12335443e+000, 3.01625900e+001
1.13862944e+000, 2.73054543e+001
1.15381122e+000, 2.45808716e+001
1.16889954e+000, 2.20211906e+001
1.18387806e+000, 1.95393009e+001
1.19869483e+000, 1.70509109e+001
1.21318221e+000, 1.48702106e+001
1.22745705e+000, 1.27301197e+001
1.24157631e+000, 1.07579803e+001
1.25547111e+000, 8.96778965e+000
1.26913309e+000, 7.31465578e+000
1.28256118e+000, 5.73126650e+000
1.29575229e+000, 4.34991312e+000
1.30870128e+000, 3.10538340e+000
1.32141232e+000, 2.11417341e+000
1.33389759e+000, 1.35590839e+000
1.34616053e+000, 7.86216736e-001
1.35820472e+000, 3.03328037e-001
1.37004018e+000, -2.45332718e-002
1.38167179e+000, -9.32812691e-002
1.39310503e+000, 1.29137039e-001
1.40455019e+000, 6.57402515e-001
1.41618013e+000, 1.65434170e+000
1.42813683e+000, 2.70848322e+000
1.44047713e+000, 4.07922411e+000
1.45321274e+000, 6.03603268e+000
1.46635735e+000, 7.73553371e+000
1.47991669e+000, 9.81682968e+000
1.49385118e+000, 1.26393719e+001
1.50835705e+000, 1.53721323e+001
1.52358472e+000, 1.83914089e+001
1.53947389e+000, 2.18243904e+001
1.55604160e+000, 2.53810883e+001
1.57331181e+000, 2.87571220e+001
1.59104371e+000, 3.24565506e+001
1.60944533e+000, 3.65875740e+001
1.62916470e+000, 4.12491150e+001
1.65013528e+000, 4.61306381e+001
1.67214310e+000, 5.14444351e+001
1.69520736e+000, 5.71150360e+001
1.71951592e+000, 6.32880325e+001
1.74511468e+000, 6.98136139e+001
1.77212656e+000, 7.69001770e+001
1.80086744e+000, 8.46304779e+001
1.83172047e+000, 9.32287903e+001
1.86526370e+000, 1.02621803e+002
1.90101707e+000, 1.12752174e+002
1.93626976e+000, 1.23145119e+002
1.97025466e+000, 1.33813782e+002
2.00261974e+000, 1.44404099e+002
2.03338528e+000, 1.54736252e+002
2.06262493e+000, 1.64450699e+002
2.09038591e+000, 1.73468246e+002
2.11678076e+000, 1.81645676e+002
2.14220881e+000, 1.89201965e+002
2.16652298e+000, 1.96392426e+002
2.18985033e+000, 2.03555420e+002
2.21226811e+000, 2.10942017e+002
2.23382211e+000, 2.18573425e+002
2.25348830e+000, 2.26288712e+002
2.27190375e+000, 2.34292786e+002
2.28946424e+000, 2.42204803e+002
2.30621004e+000, 2.49558090e+002
2.32218122e+000, 2.56140289e+002
2.33744121e+000, 2.61996979e+002
2.35118032e+000, 2.66909576e+002
2.36307049e+000, 2.70695282e+002
2.37482572e+000, 2.73855591e+002
2.38726664e+000, 2.76387634e+002
2.40173149e+000, 2.78458984e+002
2.41701674e+000, 2.80222137e+002
2.43251824e+000, 2.82022217e+002
2.44807839e+000, 2.84136200e+002
2.46354795e+000, 2.86813202e+002
2.47790051e+000, 2.90189148e+002
2.49074602e+000, 2.94544495e+002
2.50222993e+000, 3.00042603e+002
2.51336694e+000, 3.06709167e+002
2.52452302e+000, 3.15953857e+002
2.53631401e+000, 3.28661774e+002
2.54860878e+000, 3.44103668e+002
2.56100583e+000, 3.59189453e+002
2.57280493e+000, 3.71248688e+002
2.58380938e+000, 3.80362793e+002
2.59467936e+000, 3.87003479e+002
2.60550427e+000, 3.91106201e+002
2.61629915e+000, 3.92645966e+002
2.62709379e+000, 3.92666107e+002
2.63789129e+000, 3.89964355e+002
2.64868617e+000, 3.84901337e+002
2.65947270e+000, 3.78109863e+002
2.67027545e+000, 3.69234161e+002
2.68110728e+000, 3.58892853e+002
2.69193292e+000, 3.47896210e+002
2.70273542e+000, 3.36758179e+002
2.71351361e+000, 3.25541565e+002
