[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
8.21988344e-001, 1.56246758e+004
8.40274334e-001, 1.54829580e+004
8.58371437e-001, 1.53424912e+004
8.76277983e-001, 1.52055020e+004
8.93995166e-001, 1.50686992e+004
9.11524951e-001, 1.49382334e+004
9.28869247e-001, 1.48074600e+004
9.46029902e-001, 1.46777480e+004
9.63008881e-001, 1.45506543e+004
9.79808033e-001, 1.44264541e+004
9.96429145e-001, 1.43046650e+004
1.01287413e+000, 1.41839961e+004
1.02914476e+000, 1.40641719e+004
1.04524291e+000, 1.39457266e+004
1.06117022e+000, 1.38284219e+004
1.07692862e+000, 1.37119834e+004
1.09252000e+000, 1.35967461e+004
1.10798585e+000, 1.34846328e+004
1.12335443e+000, 1.33715049e+004
1.13862944e+000, 1.32613955e+004
1.15381122e+000, 1.31537842e+004
1.16889954e+000, 1.30481523e+004
1.18387806e+000, 1.29431104e+004
1.19869483e+000, 1.28380674e+004
1.21318221e+000, 1.27374141e+004
1.22745705e+000, 1.26379541e+004
1.24157631e+000, 1.25409961e+004
1.25547111e+000, 1.24471826e+004
1.26913309e+000, 1.23557803e+004
1.28256118e+000, 1.22667842e+004
1.29575229e+000, 1.21801924e+004
1.30870128e+000, 1.20957236e+004
1.32141232e+000, 1.20157031e+004
1.33389759e+000, 1.19400498e+004
1.34616053e+000, 1.18682188e+004
1.35820472e+000, 1.17988496e+004
1.37004018e+000, 1.17317461e+004
1.38167179e+000, 1.16697578e+004
1.39310503e+000, 1.16114912e+004
1.40455019e+000, 1.15571826e+004
1.41618013e+000, 1.15083750e+004
1.42813683e+000, 1.14598037e+004
1.44047713e+000, 1.14133467e+004
1.45321274e+000, 1.13726406e+004
1.46635735e+000, 1.13263320e+004
1.47991669e+000, 1.12835732e+004
1.49385118e+000, 1.12501143e+004
1.50835705e+000, 1.12144268e+004
1.52358472e+000, 1.11782881e+004
1.53947389e+000, 1.11407461e+004
1.55604160e+000, 1.11059854e+004
1.57331181e+000, 1.10676348e+004
1.59104371e+000, 1.10290684e+004
1.60944533e+000, 1.09924570e+004
1.62916470e+000, 1.09580098e+004
1.65013528e+000, 1.09237344e+004
1.67214310e+000, 1.08888350e+004
1.69520736e+000, 1.08544668e+004
1.71951592e+000, 1.08206602e+004
1.74511468e+000, 1.07868789e+004
1.77212656e+000, 1.07540576e+004
1.80086744e+000, 1.07236484e+004
1.83172047e+000, 1.06983398e+004
1.86526370e+000, 1.06731504e+004
1.90101707e+000, 1.06497363e+004
1.93626976e+000, 1.06331211e+004
1.97025466e+000, 1.06277041e+004
2.00261974e+000, 1.06294678e+004
2.03338528e+000, 1.06358096e+004
2.06262493e+000, 1.06436719e+004
2.09038591e+000, 1.06485742e+004
2.11678076e+000, 1.06489551e+004
2.14220881e+000, 1.06405645e+004
2.16652298e+000, 1.06275967e+004
2.18985033e+000, 1.06179346e+004
2.21226811e+000, 1.06162617e+004
2.23382211e+000, 1.06221055e+004
2.25348830e+000, 1.06431924e+004
2.27190375e+000, 1.06803594e+004
2.28946424e+000, 1.07264229e+004
2.30621004e+000, 1.07704160e+004
2.32218122e+000, 1.08016709e+004
2.33744121e+000, 1.08196406e+004
2.35118032e+000, 1.08269404e+004
2.36307049e+000, 1.08294844e+004
2.37482572e+000, 1.08194727e+004
2.38726664e+000, 1.07871455e+004
2.40173149e+000, 1.07281709e+004
2.41701674e+000, 1.06538398e+004
2.43251824e+000, 1.05740479e+004
2.44807839e+000, 1.04977012e+004
2.46354795e+000, 1.04355859e+004
2.47790051e+000, 1.03936787e+004
2.49074602e+000, 1.03813545e+004
2.50222993e+000, 1.03867969e+004
2.51336694e+000, 1.04292061e+004
2.52452302e+000, 1.05368145e+004
2.53631401e+000, 1.07222090e+004
2.54860878e+000, 1.09674502e+004
2.56100583e+000, 1.12163984e+004
2.57280493e+000, 1.14005889e+004
2.58380938e+000, 1.15147412e+004
2.59467936e+000, 1.15747637e+004
2.60550427e+000, 1.15914209e+004
2.61629915e+000, 1.15726904e+004
2.62709379e+000, 1.14832891e+004
2.63789129e+000, 1.13206650e+004
2.64868617e+000, 1.11098535e+004
2.65947270e+000, 1.08524248e+004
2.67027545e+000, 1.05368066e+004
2.68110728e+000, 1.01678477e+004
2.69193292e+000, 9.75643262e+003
2.70273542e+000, 9.31339844e+003
2.71351361e+000, 8.83432422e+003
2.72426748e+000, 8.29895996e+003
2.73502755e+000, 7.68412256e+003
2.74578977e+000, 6.98417773e+003
2.75649452e+000, 6.11480957e+003
2.76716185e+000, 4.94113086e+003
2.77784300e+000, 3.14676123e+003
2.78853607e+000, -3.76096680e+002
2.79915380e+000, -1.22618936e+004
2.78892589e+000, -1.65237402e+004
2.77821612e+000, -1.78870879e+004
2.76746011e+000, -1.80803848e+004
2.75669456e+000, -1.80561191e+004
2.74581718e+000, -1.80018574e+004
2.73474908e+000, -1.79693926e+004
