[Name]
Series 1 at Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
4.01780039e-001, -7.75309265e+002
5.06047070e-001, -7.60559875e+002
6.34636939e-001, -7.43801941e+002
7.93003440e-001, -7.26940979e+002
9.86107767e-001, -7.19958557e+002
1.20512676e+000, -7.10633667e+002
1.44808793e+000, -6.62772583e+002
1.70219946e+000, -5.34249878e+002
1.91378045e+000, -3.93290070e+002
2.08541417e+000, -2.77372162e+002
2.22462893e+000, -1.85801056e+002
2.33756042e+000, -1.10372833e+002
2.42919207e+000, -4.74023209e+001
2.50355673e+000, 6.58453274e+000
2.56393981e+000, 5.54146423e+001
2.61297417e+000, 9.41520844e+001
2.65280175e+000, 1.27280098e+002
2.68517780e+000, 1.54252319e+002
2.71152353e+000, 1.75696854e+002
2.73293900e+000, 1.93289444e+002
2.75034928e+000, 2.08729645e+002
2.76452208e+000, 2.23396912e+002
2.77608180e+000, 2.38206757e+002
2.78541327e+000, 2.55488251e+002
2.79307032e+000, 2.69236450e+002
2.80000019e+000, 3.20291321e+002
2.79302597e+000, 3.93535553e+002
2.78531599e+000, 4.06320435e+002
2.77594185e+000, 4.18671509e+002
2.76436567e+000, 4.21927460e+002
2.75024462e+000, 4.21163605e+002
2.73300457e+000, 4.16576202e+002
2.71195197e+000, 4.09104797e+002
2.68627429e+000, 4.00605530e+002
2.65503931e+000, 3.84997864e+002
2.61700821e+000, 3.65901245e+002
2.57043195e+000, 3.44075043e+002
2.51331615e+000, 3.17585632e+002
2.44326401e+000, 2.85093933e+002
2.35725284e+000, 2.46281601e+002
2.25158787e+000, 2.02002045e+002
2.12171865e+000, 1.48934265e+002
1.96201515e+000, 7.59233475e+001
1.76555693e+000, -1.09357920e+001
1.52402544e+000, -6.33672485e+001
1.27781582e+000, -6.15288010e+001
1.05551589e+000, -3.69833069e+001
8.56361866e-001, -1.78857005e+000
6.89457417e-001, 4.19393463e+001
5.53399920e-001, 8.52863693e+001
4.42720413e-001, 1.34007095e+002
3.52641702e-001, 1.84374832e+002
2.79414356e-001, 2.38202988e+002
2.20218301e-001, 2.95026031e+002
1.72255844e-001, 3.57662476e+002
1.33381829e-001, 4.29993774e+002
1.02037489e-001, 4.97580292e+002
7.69821554e-002, 5.50971375e+002
5.67861386e-002, 6.08047668e+002
4.06542793e-002, 7.13488037e+002
2.77124718e-002, 9.09668274e+002
1.75863877e-002, 1.18230249e+003
1.00105396e-002, 1.42701306e+003
4.66471352e-003, 1.50792395e+003
1.19931938e-003, 1.43711194e+003
-1.86284218e-004, 8.87708435e+002
1.41465524e-003, -5.22126961e+001
5.20667341e-003, -9.97418579e+002
1.10214977e-002, -1.52343494e+003
1.95245799e-002, -1.73034131e+003
3.07552367e-002, -1.55547217e+003
4.50873896e-002, -1.27803955e+003
6.32588342e-002, -1.07044421e+003
8.60408023e-002, -9.64434326e+002
1.14521600e-001, -9.08274658e+002
1.50062680e-001, -8.73715576e+002
1.94280639e-001, -8.39476624e+002
2.49185145e-001, -8.15981506e+002
3.17363799e-001, -7.92319824e+002


