[Name]
Series 1 at Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
4.01780039e-001, 1.13379395e+004
5.06047070e-001, 9.25061816e+003
6.34636939e-001, 7.15154443e+003
7.93003440e-001, 4.93399463e+003
9.86107767e-001, 2.41872046e+003
1.20512676e+000, -2.60523712e+002
1.44808793e+000, -3.18128711e+003
1.70219946e+000, -5.79996777e+003
1.91378045e+000, -7.43569385e+003
2.08541417e+000, -8.35603125e+003
2.22462893e+000, -8.84736328e+003
2.33756042e+000, -9.17743359e+003
2.42919207e+000, -9.34672949e+003
2.50355673e+000, -9.40626660e+003
2.56393981e+000, -9.41080859e+003
2.61297417e+000, -9.35697559e+003
2.65280175e+000, -9.23723047e+003
2.68517780e+000, -9.07608496e+003
2.71152353e+000, -8.90559375e+003
2.73293900e+000, -8.75483594e+003
2.75034928e+000, -8.65184375e+003
2.76452208e+000, -8.61118652e+003
2.77608180e+000, -8.53409961e+003
2.78541327e+000, -7.92010596e+003
2.79307032e+000, -5.20698096e+003
2.80000019e+000, 8.48171387e+003
2.79302597e+000, 2.19712012e+004
2.78531599e+000, 2.44253242e+004
2.77594185e+000, 2.51608145e+004
2.76436567e+000, 2.44618164e+004
2.75024462e+000, 2.28546367e+004
2.73300457e+000, 2.09729727e+004
2.71195197e+000, 1.92694297e+004
2.68627429e+000, 1.76928730e+004
2.65503931e+000, 1.62475303e+004
2.61700821e+000, 1.49435459e+004
2.57043195e+000, 1.37855918e+004
2.51331615e+000, 1.27790791e+004
2.44326401e+000, 1.19940684e+004
2.35725284e+000, 1.13949316e+004
2.25158787e+000, 1.10582002e+004
2.12171865e+000, 1.09528271e+004
1.96201515e+000, 1.12379746e+004
1.76555693e+000, 1.26356123e+004
1.52402544e+000, 1.54189941e+004
1.27781582e+000, 1.89312500e+004
1.05551589e+000, 2.22654805e+004
8.56361866e-001, 2.53087676e+004
6.89457417e-001, 2.80363223e+004
5.53399920e-001, 3.03468281e+004
4.42720413e-001, 3.26668789e+004
3.52641702e-001, 3.48960156e+004
2.79414356e-001, 3.71296016e+004
2.20218301e-001, 3.93223828e+004
1.72255844e-001, 4.14002070e+004
1.33381829e-001, 4.32373711e+004
1.02037489e-001, 4.43667891e+004
7.69821554e-002, 4.49748086e+004
5.67861386e-002, 4.59731133e+004
4.06542793e-002, 4.82676250e+004
2.77124718e-002, 5.36686445e+004
1.75863877e-002, 6.13460156e+004
1.00105396e-002, 7.06083125e+004
4.66471352e-003, 7.84016250e+004
1.19931938e-003, 8.18141406e+004
-1.86284218e-004, 8.00586328e+004
1.41465524e-003, 7.19530313e+004
5.20667341e-003, 5.80964766e+004
1.10214977e-002, 4.48940078e+004
1.95245799e-002, 3.39779414e+004
3.07552367e-002, 2.58607422e+004
4.50873896e-002, 2.16860664e+004
6.32588342e-002, 1.97185332e+004
8.60408023e-002, 1.89714160e+004
1.14521600e-001, 1.81440723e+004
1.50062680e-001, 1.70790430e+004
1.94280639e-001, 1.59878779e+004
2.49185145e-001, 1.46538867e+004
3.17363799e-001, 1.31312822e+004


