[Name]
Series 1 at Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
4.01780039e-001, -6.34889355e+003
5.06047070e-001, -6.91988965e+003
6.34636939e-001, -7.49865625e+003
7.93003440e-001, -8.13352832e+003
9.86107767e-001, -8.90453027e+003
1.20512676e+000, -9.79254688e+003
1.44808793e+000, -1.08292988e+004
1.70219946e+000, -1.17126406e+004
1.91378045e+000, -1.18532529e+004
2.08541417e+000, -1.15224990e+004
2.22462893e+000, -9.99250586e+003
2.33756042e+000, -5.79292285e+003
2.42919207e+000, -1.95121746e+001
2.50355673e+000, 2.61068701e+003
2.56393981e+000, 2.38690137e+003
2.61297417e+000, 1.88011792e+003
2.65280175e+000, 1.86259412e+003
2.68517780e+000, 2.07786768e+003
2.71152353e+000, 2.38536646e+003
2.73293900e+000, 2.58715283e+003
2.75034928e+000, 2.68911694e+003
2.76452208e+000, 2.74873120e+003
2.77608180e+000, 2.81451978e+003
2.78541327e+000, 2.91402881e+003
2.79307032e+000, 3.00121509e+003
2.80000019e+000, 3.44779565e+003
2.79302597e+000, 4.10117627e+003
2.78531599e+000, 4.21851074e+003
2.77594185e+000, 4.32709229e+003
2.76436567e+000, 4.35373828e+003
2.75024462e+000, 4.33935547e+003
2.73300457e+000, 4.30105518e+003
2.71195197e+000, 4.23925293e+003
2.68627429e+000, 4.16453711e+003
2.65503931e+000, 4.03083350e+003
2.61700821e+000, 3.84361377e+003
2.57043195e+000, 3.61025244e+003
2.51331615e+000, 3.36365674e+003
2.44326401e+000, 3.14369897e+003
2.35725284e+000, 2.87545117e+003
2.25158787e+000, 2.37678345e+003
2.12171865e+000, 1.49741553e+003
1.96201515e+000, 4.22014282e+002
1.76555693e+000, -4.58901978e+002
1.52402544e+000, -8.16148254e+002
1.27781582e+000, -7.82474060e+002
1.05551589e+000, -5.33909790e+002
8.56361866e-001, -1.45780090e+002
6.89457417e-001, 3.08443695e+002
5.53399920e-001, 7.39621277e+002
4.42720413e-001, 1.19158716e+003
3.52641702e-001, 1.63001257e+003
2.79414356e-001, 2.08017603e+003
2.20218301e-001, 2.55579907e+003
1.72255844e-001, 3.06713403e+003
1.33381829e-001, 3.58606519e+003
1.02037489e-001, 3.98318823e+003
7.69821554e-002, 4.23304297e+003
5.67861386e-002, 4.51713477e+003
4.06542793e-002, 5.07417334e+003
2.77124718e-002, 6.39840137e+003
1.75863877e-002, 8.33364355e+003
1.00105396e-002, 1.05293799e+004
4.66471352e-003, 1.22397285e+004
1.19931938e-003, 1.24478223e+004
-1.86284218e-004, 1.14200439e+004
1.41465524e-003, 8.07346826e+003
5.20667341e-003, 3.18566846e+003
1.10214977e-002, -8.23816895e+002
1.95245799e-002, -4.06597778e+003
3.07552367e-002, -6.17207373e+003
4.50873896e-002, -7.00373535e+003
6.32588342e-002, -6.91983252e+003
8.60408023e-002, -6.43707471e+003
1.14521600e-001, -5.93137256e+003
1.50062680e-001, -5.63576074e+003
1.94280639e-001, -5.49056934e+003
2.49185145e-001, -5.60571777e+003
3.17363799e-001, -5.90547656e+003


