[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
1.25511932e+000, -4.61874725e+002
9.86688614e-001, -4.63454651e+002
8.28595817e-001, -4.63634644e+002
8.02522659e-001, -4.62744110e+002
7.77299583e-001, -4.63882202e+002
6.38862669e-001, -4.66700745e+002
5.39577842e-001, -4.69209015e+002
5.20289123e-001, -4.69300049e+002
4.72292423e-001, -4.72099426e+002
4.12692457e-001, -4.74869446e+002
3.95105153e-001, -4.75362885e+002
3.66252184e-001, -4.76797241e+002
3.09161901e-001, -4.79732361e+002
2.67665833e-001, -4.77810913e+002
2.56677598e-001, -4.77737885e+002
2.43794352e-001, -4.78382996e+002
2.06642836e-001, -4.80486755e+002
1.74915239e-001, -4.80665894e+002
1.60556510e-001, -4.81940735e+002
1.34639129e-001, -4.81388916e+002
1.16078064e-001, -4.78264893e+002
1.08746216e-001, -4.77807404e+002
1.00974724e-001, -4.83101563e+002
8.58724713e-002, -4.93037689e+002
7.07837045e-002, -5.25770386e+002
6.81044459e-002, -5.31370178e+002
6.64464310e-002, -5.38751709e+002
4.66565751e-002, -6.34843018e+002
4.04566824e-002, -6.72016174e+002
2.86701526e-002, -7.28455994e+002
2.82464623e-002, -7.30215698e+002
2.77950130e-002, -7.24395630e+002
1.95788648e-002, -6.47238892e+002
1.41133117e-002, -4.42882202e+002
1.15089230e-002, -3.15165070e+002
6.28881436e-003, 8.22927094e+001
5.78924874e-003, 1.45956940e+002
1.41468993e-003, 7.43505859e+002
2.76000908e-004, 1.19114783e+003
-2.43381619e-005, 1.30066748e+003
-1.10902220e-005, 1.32296033e+003
3.04632587e-004, 1.34618274e+003
9.07908718e-004, 1.45816882e+003
2.28011841e-003, 1.43347864e+003
3.45261744e-003, 1.39163623e+003
1.12752113e-002, 9.84651489e+002
1.13708265e-002, 9.79712158e+002
1.16007039e-002, 9.71616638e+002
2.29708031e-002, 5.41449646e+002
2.86988392e-002, 4.18804138e+002
3.56784388e-002, 2.85303040e+002
5.06942086e-002, 1.86799362e+002
5.54179028e-002, 1.74076218e+002
6.91483319e-002, 1.77572678e+002
7.55441114e-002, 1.79062378e+002
9.27052349e-002, 1.74692566e+002
1.02760680e-001, 1.68290421e+002
1.26206651e-001, 1.45616608e+002
1.36857763e-001, 1.33328644e+002
1.65744379e-001, 1.00192307e+002
1.74612299e-001, 9.01158600e+001
2.18223095e-001, 5.40833702e+001
2.23962411e-001, 4.92919235e+001
2.35169053e-001, 4.25698547e+001
2.71292865e-001, 2.10124683e+001
2.98045278e-001, 9.37592030e+000
3.24859142e-001, -3.14598608e+000
3.90733689e-001, -2.64576836e+001
3.94857228e-001, -2.79346809e+001
4.04916763e-001, -3.06656532e+001
4.85960543e-001, -5.25083199e+001
5.19722760e-001, -5.87362747e+001
6.02404952e-001, -7.50432129e+001
7.27237582e-001, -9.27125015e+001
7.49611855e-001, -9.57850342e+001
7.67153203e-001, -9.75890961e+001
9.29194927e-001, -1.16331573e+002
1.06903899e+000, -1.30398880e+002
1.14106655e+000, -1.37703110e+002
1.32716918e+000, -1.54808685e+002
1.33858275e+000, -1.55324020e+002
1.37389922e+000, -1.54659500e+002
1.53458190e+000, -1.44664658e+002
1.59183192e+000, -1.39542023e+002
1.74014592e+000, -9.79850922e+001
1.85394120e+000, -5.98995018e+001
1.90248060e+000, -3.73980255e+001
2.01988626e+000, 1.40208950e+001
2.02425337e+000, 1.60192032e+001
2.03157616e+000, 1.91883163e+001
2.12955093e+000, 6.10597534e+001
2.22534442e+000, 9.93938446e+001
2.22842026e+000, 1.00588951e+002
2.23206282e+000, 1.02140602e+002
2.31348348e+000, 1.36590363e+002
2.35416722e+000, 1.54966156e+002
2.41483593e+000, 1.82703842e+002
2.44044733e+000, 1.94450958e+002
2.47076416e+000, 2.08821823e+002
2.50719190e+000, 2.26545746e+002
2.54598308e+000, 2.46762329e+002
2.55408740e+000, 2.51047241e+002
2.57858324e+000, 2.64071014e+002
2.59165645e+000, 2.70981476e+002
2.59529328e+000, 2.72831909e+002
2.60790157e+000, 2.79471191e+002
2.63266182e+000, 2.92345520e+002
2.64394426e+000, 2.98312286e+002
2.66445971e+000, 3.09247009e+002
2.68508887e+000, 3.20426117e+002
2.68516278e+000, 3.20465485e+002
2.68625975e+000, 3.21032867e+002
2.70682812e+000, 3.31657196e+002
2.70762253e+000, 3.31999603e+002
2.71217608e+000, 3.33785675e+002
2.73039222e+000, 3.40863495e+002
2.73327971e+000, 3.42054596e+002
2.73905182e+000, 3.44108734e+002
2.74981332e+000, 3.47830383e+002
2.75682163e+000, 3.49715881e+002
2.76254272e+000, 3.51354919e+002
2.76682806e+000, 3.51944153e+002
2.77288294e+000, 3.52461548e+002
2.78109574e+000, 3.48786163e+002
2.78220510e+000, 3.48514771e+002
2.78388453e+000, 3.46641052e+002
2.79012585e+000, 3.38334686e+002
2.79451752e+000, 3.22477203e+002
2.79507303e+000, 3.20328918e+002
2.79612732e+000, 3.07967865e+002
2.80000019e+000, 2.62540588e+002
2.79769540e+000, 2.42955246e+002
2.79509211e+000, 2.20250916e+002
2.79103518e+000, 2.10465515e+002
2.78891563e+000, 2.05557022e+002
2.78742528e+000, 2.02737656e+002
2.78124428e+000, 1.91792847e+002
2.77092671e+000, 1.79598206e+002
2.77072167e+000, 1.79360443e+002
2.77022219e+000, 1.78934113e+002
2.75880885e+000, 1.69178558e+002
2.75438523e+000, 1.65808167e+002
2.74113941e+000, 1.56167404e+002
2.73288536e+000, 1.50514786e+002
2.71833801e+000, 1.41021103e+002
2.71149015e+000, 1.36499710e+002
2.69973803e+000, 1.28781952e+002
2.68731856e+000, 1.20648499e+002
2.68103099e+000, 1.16571312e+002
2.64860415e+000, 9.50311356e+001
2.64494276e+000, 9.24902191e+001
2.64006305e+000, 8.92031860e+001
2.60595584e+000, 6.61897430e+001
2.57290196e+000, 4.54297409e+001
2.55928516e+000, 3.66917763e+001
2.53869438e+000, 2.46406021e+001
