[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
1.25511932e+000, -6.61473535e+003
9.86688614e-001, -4.40777734e+003
8.28595817e-001, -2.82527441e+003
8.02522659e-001, -2.59199707e+003
7.77299583e-001, -2.29513232e+003
6.38862669e-001, -5.28825256e+002
5.39577842e-001, 1.13796387e+003
5.20289123e-001, 1.46051172e+003
4.72292423e-001, 2.46033887e+003
4.12692457e-001, 3.65305811e+003
3.95105153e-001, 4.02627734e+003
3.66252184e-001, 4.76842480e+003
3.09161901e-001, 6.21632910e+003
2.67665833e-001, 7.53297461e+003
2.56677598e-001, 7.86203418e+003
2.43794352e-001, 8.29090820e+003
2.06642836e-001, 9.48867480e+003
1.74915239e-001, 1.05714609e+004
1.60556510e-001, 1.10345537e+004
1.34639129e-001, 1.19141152e+004
1.16078064e-001, 1.25455234e+004
1.08746216e-001, 1.27821367e+004
1.00974724e-001, 1.30534844e+004
8.58724713e-002, 1.35580117e+004
7.07837045e-002, 1.44328564e+004
6.81044459e-002, 1.45945742e+004
6.64464310e-002, 1.48162617e+004
4.66565751e-002, 1.80041055e+004
4.04566824e-002, 1.95749160e+004
2.86701526e-002, 2.40556797e+004
2.82464623e-002, 2.42247148e+004
2.77950130e-002, 2.45644551e+004
1.95788648e-002, 3.04553633e+004
1.41133117e-002, 3.64228555e+004
1.15089230e-002, 3.97535039e+004
6.28881436e-003, 4.85061914e+004
5.78924874e-003, 4.96110586e+004
1.41468993e-003, 5.97970195e+004
2.76000908e-004, 6.51581719e+004
-2.43381619e-005, 6.64970391e+004
-1.10902220e-005, 6.66193203e+004
3.04632587e-004, 6.65476250e+004
9.07908718e-004, 6.69200469e+004
2.28011841e-003, 6.43513086e+004
3.45261744e-003, 6.16614336e+004
1.12752113e-002, 4.96844570e+004
1.13708265e-002, 4.95425273e+004
1.16007039e-002, 4.93231367e+004
2.29708031e-002, 3.77823750e+004
2.86988392e-002, 3.40492344e+004
3.56784388e-002, 2.98636602e+004
5.06942086e-002, 2.51178457e+004
5.54179028e-002, 2.41732480e+004
6.91483319e-002, 2.30601074e+004
7.55441114e-002, 2.27319531e+004
9.27052349e-002, 2.21384863e+004
1.02760680e-001, 2.18467871e+004
1.26206651e-001, 2.12364238e+004
1.36857763e-001, 2.09537793e+004
1.65744379e-001, 2.01528164e+004
1.74612299e-001, 1.98995781e+004
2.18223095e-001, 1.87191328e+004
2.23962411e-001, 1.85600078e+004
2.35169053e-001, 1.82522109e+004
2.71292865e-001, 1.72556465e+004
2.98045278e-001, 1.65517500e+004
3.24859142e-001, 1.58295830e+004
3.90733689e-001, 1.42348594e+004
3.94857228e-001, 1.41351699e+004
4.04916763e-001, 1.39305127e+004
4.85960543e-001, 1.22213125e+004
5.19722760e-001, 1.16255801e+004
6.02404952e-001, 1.02083281e+004
7.27237582e-001, 8.55483496e+003
7.49611855e-001, 8.23272461e+003
7.67153203e-001, 8.04826123e+003
9.29194927e-001, 6.06722559e+003
1.06903899e+000, 4.66772559e+003
1.14106655e+000, 3.81991260e+003
1.32716918e+000, 1.80780054e+003
1.33858275e+000, 1.67683447e+003
1.37389922e+000, 1.31861682e+003
1.53458190e+000, -1.87499420e+002
1.59183192e+000, -6.69261780e+002
1.74014592e+000, -1.75881714e+003
1.85394120e+000, -2.47985840e+003
1.90248060e+000, -2.74210327e+003
2.01988626e+000, -3.09938770e+003
2.02425337e+000, -3.10954150e+003
2.03157616e+000, -3.12157544e+003
2.12955093e+000, -3.23029932e+003
2.22534442e+000, -3.24328662e+003
2.22842026e+000, -3.24208643e+003
2.23206282e+000, -3.23704590e+003
2.31348348e+000, -3.08916919e+003
2.35416722e+000, -2.94796533e+003
2.41483593e+000, -2.70434033e+003
2.44044733e+000, -2.56149902e+003
2.47076416e+000, -2.34314478e+003
2.50719190e+000, -2.07271533e+003
2.54598308e+000, -1.66479224e+003
2.55408740e+000, -1.57101587e+003
2.57858324e+000, -1.21773755e+003
2.59165645e+000, -1.03003003e+003
2.59529328e+000, -9.69545288e+002
2.60790157e+000, -7.31635132e+002
2.63266182e+000, -2.72443085e+002
2.64394426e+000, -1.33096008e+001
