[Name]
3D Transonic Tip Pressure at /POLYLINE:Polyline 2

[Data]
X [ m ],Pressure [ Pa ]
1.25511932e+000, -5.52406299e+003
9.86688614e-001, -5.23117285e+003
8.28595817e-001, -5.08984326e+003
8.02522659e-001, -5.06071436e+003
7.77299583e-001, -5.04841553e+003
6.38862669e-001, -4.93715137e+003
5.39577842e-001, -4.84060596e+003
5.20289123e-001, -4.82121875e+003
4.72292423e-001, -4.73747510e+003
4.12692457e-001, -4.63004297e+003
3.95105153e-001, -4.57914453e+003
3.66252184e-001, -4.47245996e+003
3.09161901e-001, -4.26889941e+003
2.67665833e-001, -4.03472388e+003
2.56677598e-001, -3.97375879e+003
2.43794352e-001, -3.89902197e+003
2.06642836e-001, -3.69584839e+003
1.74915239e-001, -3.50629199e+003
1.60556510e-001, -3.47248682e+003
1.34639129e-001, -3.40660645e+003
1.16078064e-001, -3.46763281e+003
1.08746216e-001, -3.50182446e+003
1.00974724e-001, -3.59445996e+003
8.58724713e-002, -3.77729517e+003
7.07837045e-002, -3.99880273e+003
6.81044459e-002, -4.03515771e+003
6.64464310e-002, -4.03103809e+003
4.66565751e-002, -3.80901172e+003
4.04566824e-002, -3.54155957e+003
2.86701526e-002, -2.55978442e+003
2.82464623e-002, -2.52173291e+003
2.77950130e-002, -2.42100220e+003
1.95788648e-002, -7.10385986e+002
1.41133117e-002, 1.12292920e+003
1.15089230e-002, 2.16657227e+003
6.28881436e-003, 5.06438477e+003
5.78924874e-003, 5.45014746e+003
1.41468993e-003, 8.99939453e+003
2.76000908e-004, 1.10621396e+004
-2.43381619e-005, 1.15746885e+004
-1.10902220e-005, 1.16433721e+004
3.04632587e-004, 1.16941348e+004
9.07908718e-004, 1.20014746e+004
2.28011841e-003, 1.15290020e+004
3.45261744e-003, 1.09399395e+004
1.12752113e-002, 7.75273877e+003
1.13708265e-002, 7.71521924e+003
1.16007039e-002, 7.65508252e+003
2.29708031e-002, 4.45124463e+003
2.86988392e-002, 3.47491846e+003
3.56784388e-002, 2.39116382e+003
5.06942086e-002, 1.42812256e+003
5.54179028e-002, 1.27276038e+003
6.91483319e-002, 1.24830981e+003
